country,year,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,population,Code,gdp_per_capita,renewable_energy_consumption
Saudi Arabia,2000,309.76,19.147,0.001,198.371,95.613,16177682,SAU,51588.91,0.0
Saudi Arabia,2001,324.516,19.043,0.005,205.004,103.061,17041344,SAU,49143.09,0.0
Saudi Arabia,2002,347.097,19.379,0.028,219.46,110.029,17910859,SAU,46435.48,0.0
Saudi Arabia,2003,351.405,18.705,0.029,216.839,115.288,18786715,SAU,48152.598,0.0
Saudi Arabia,2004,407.882,20.737,0.036,263.196,126.075,19669438,SAU,49961.168,0.0
Saudi Arabia,2005,412.411,20.059,0.07,256.689,136.748,20559827,SAU,50638.95,0.0
Saudi Arabia,2006,445.168,20.745,0.038,283.766,141.013,21459088,SAU,50124.52,0.0
Saudi Arabia,2007,423.532,18.934,0.055,258.466,142.852,22368262,SAU,49151.656,0.0
Saudi Arabia,2008,469.713,20.17,0.108,288.817,154.41,23287838,SAU,50155.836,7.549389e-05
Saudi Arabia,2009,504.28,20.823,0.067,326.067,150.59,24217606,SAU,47715.746,7.248639e-05
Saudi Arabia,2010,555.962,22.1,0.17,359.645,168.268,25157085,SAU,50620.293,0.00043443398
Saudi Arabia,2011,540.579,20.707,0.17,335.71,177.099,26105592,SAU,53692.3,0.00054623885
Saudi Arabia,2012,606.102,22.396,0.193,386.219,190.671,27062388,SAU,54267.215,0.0024344039
Saudi Arabia,2013,583.611,20.823,0.239,359.381,192.011,28026782,SAU,52711.688,0.003977416
Saudi Arabia,2014,585.568,20.193,0.257,355.28,196.522,28998069,SAU,53396.152,0.0039821663
Saudi Arabia,2015,624.999,20.851,0.26,390.524,200.498,29974899,SAU,52983.137,0.0038000962
Saudi Arabia,2016,641.662,20.889,0.37,395.727,212.801,30717760,SAU,51997.344,0.0036253089
Saudi Arabia,2017,613.685,19.936,0.55,361.926,222.859,30782349,SAU,52431.84,0.005488546
Saudi Arabia,2018,637.487,20.994,0.48,376.489,231.046,30365068,SAU,55508.875,0.013177553
Saudi Arabia,2019,657.588,21.579,0.513,395.297,233.226,30472767,SAU,56365.508,0.017720161
Saudi Arabia,2020,616.086,19.879,0.432,350.85,234.954,30991155,SAU,51782.57,0.078363046
Saudi Arabia,2021,695.842,22.211,0.531,420.768,241.863,31328320,SAU,55768.234,0.08259208
Saudi Arabia,2022,723.331,22.481,0.52,442.617,246.702,32175301,SAU,57351.875,0.1567925
Saudi Arabia,2023,736.205,22.132,0.52,459.965,241.156,33264239,SAU,55055.4,0.35929954
Singapore,1990,43.536,14.323,0.077,43.459,0.8651111111111112,3039544,SGP,45371.008,0.09726366
Singapore,1991,44.235,14.104,0.044,44.192,0.8905555555555557,3136244,SGP,47047.64,0.2751093
Singapore,1992,47.441,14.704,0.066,46.46,0.916,3226410,SGP,48686.645,0.2564298
Singapore,1993,49.662,14.968,0.073,46.863,2.726,3317840,SGP,52910.36,0.23471357
Singapore,1994,60.086,17.58,0.088,56.748,3.25,3417765,SGP,56966.023,0.2052245
Singapore,1995,40.546,11.474,0.04,37.124,3.382,3533576,SGP,59226.758,0.196857
Singapore,1996,48.013,13.102,0.0,44.997,3.016,3664512,SGP,61116.676,0.19508325
Singapore,1997,56.737,14.944,0.0,53.762,2.975,3796580,SGP,64013.562,0.18547828
Singapore,1998,47.412,12.153,0.0,44.155,3.257,3901362,SGP,60519.71,0.18294819
Singapore,1999,49.2,12.404,0.0,46.547,2.653,3966504,SGP,63471.19,0.18479532
Singapore,2000,37.369,9.261,0.0,34.661,2.708,4035193,SGP,68019.53,0.17282811
Singapore,2001,38.525,9.359,0.0,34.437,4.089,4116123,SGP,65500.312,0.29521835
Singapore,2002,40.208,9.696,0.0,33.573,6.636,4146847,SGP,67451.72,0.30653244
Singapore,2003,39.534,9.553,0.033,29.238,10.263,4138194,SGP,71567.13,0.34054095
Singapore,2004,41.0,9.826,0.04,28.86,12.099,4172716,SGP,77702.016,0.29151094
Singapore,2005,39.6,9.278,0.044,28.081,11.475,4268321,SGP,81487.73,0.27526557
Singapore,2006,40.6,9.212,0.029,28.197,12.373,4407007,SGP,86090.44,0.24725
Singapore,2007,41.1,8.942,0.051,27.796,13.253,4596463,SGP,90027.34,0.23787805
Singapore,2008,40.2,8.363,0.033,26.603,13.564,4806683,SGP,86952.46,0.2358275
Singapore,2009,40.8,8.212,0.029,27.06,13.711,4968522,SGP,84477.125,0.22255981
Singapore,2010,44.4,8.745,0.051,29.49,14.859,5076973,SGP,95043.96,0.23269218
Singapore,2011,47.0,9.069,0.033,31.958,15.009,5182186,SGP,98867.945,0.23102067
Singapore,2012,46.1,8.709,0.11,29.716,16.274,5293298,SGP,100750.85,0.24153683
Singapore,2013,47.0,8.727,1.136,27.54,18.324,5385542,SGP,103908.36,0.26539204
Singapore,2014,47.6,8.721,1.678,26.708,19.214,5457856,SGP,106604.49,0.27731833
Singapore,2015,49.4,8.941,1.751,28.094,19.555,5525299,SGP,108483.21,0.29200265
Singapore,2016,49.1,8.803,1.832,27.222,20.046,5577892,SGP,110927.695,0.28382972
Singapore,2017,50.1,8.94,3.866,26.079,20.156,5604041,SGP,115831.11,0.2767103
Singapore,2018,50.3,8.927,2.056,27.66,20.584,5634310,SGP,119343.15,0.2736794
Singapore,2019,49.0,8.643,1.971,26.14,20.888,5669500,SGP,119572.27,0.29325968
Singapore,2020,46.7,8.309,1.865,23.718,21.117,5620104,SGP,115304.15,0.31411594
Singapore,2021,50.1,9.033,1.997,26.55,21.553,5546240,SGP,131864.1,0.3376918
Singapore,2022,47.873,8.473,1.784,25.008,21.08,5649833,SGP,132468.94,0.5213485
Singapore,2023,49.253,8.508,1.447,27.901,19.905,5789037,SGP,127543.555,0.49312237
Slovakia,1990,61.526,11.684,33.59,12.783,12.317,5266022,SVK,17558.203,2.1117134
Slovakia,1991,53.332,10.091,28.848,10.417,12.032,5284824,SVK,14987.688,1.767831
Slovakia,1992,48.928,9.22,25.832,8.855,12.131,5306409,SVK,13975.755,2.5292287
Slovakia,1993,46.396,8.711,24.649,8.144,11.678,5326307,SVK,14187.221,4.615238
Slovakia,1994,43.805,8.198,22.188,8.316,11.278,5343170,SVK,15008.355,5.892162
Slovakia,1995,44.196,8.254,21.334,8.16,12.516,5354244,SVK,15838.95,6.511099
Slovakia,1996,44.077,8.22,20.727,8.093,13.136,5362376,SVK,16772.686,5.597323
Slovakia,1997,44.149,8.222,20.47,8.077,13.399,5369731,SVK,17660.174,5.481863
Slovakia,1998,43.879,8.164,19.133,8.017,13.792,5374745,SVK,18311.295,5.696381
Slovakia,1999,43.092,8.012,18.345,7.758,14.002,5378056,SVK,18206.045,5.92623
Slovakia,2000,41.192,7.656,17.69,7.351,13.809,5379951,SVK,18374.59,5.9230037
Slovakia,2001,43.279,8.045,18.319,7.97,14.544,5379393,SVK,18946.719,6.4795485
Slovakia,2002,42.095,7.828,17.89,7.968,13.724,5377634,SVK,19790.836,6.657926
Slovakia,2003,42.425,7.891,18.818,8.032,13.375,5376146,SVK,20765.682,4.4988313
Slovakia,2004,42.92,7.984,18.865,8.259,13.16,5375995,SVK,21889.305,5.2484975
Slovakia,2005,42.926,7.984,17.631,9.218,13.389,5376650,SVK,23306.523,5.6582713
Slovakia,2006,42.751,7.951,18.644,8.833,12.475,5376793,SVK,25385.625,6.1773915
Slovakia,2007,41.154,7.654,17.428,9.171,11.648,5376949,SVK,28123.795,6.8436675
Slovakia,2008,41.551,7.724,16.928,9.508,12.035,5379075,SVK,29606.78,6.2377963
Slovakia,2009,37.8,7.019,15.909,8.893,10.646,5385027,SVK,27939.568,7.4104877
Slovakia,2010,38.462,7.133,15.945,9.238,11.259,5391807,SVK,29809.037,8.313801
Slovakia,2011,38.046,7.048,16.191,8.757,10.649,5398048,SVK,30533.477,7.509848
Slovakia,2012,35.963,6.654,14.461,9.009,10.299,5404834,SVK,30959.865,8.348838
Slovakia,2013,35.623,6.584,14.153,8.876,10.482,5410370,SVK,31144.129,9.315094
Slovakia,2014,33.708,6.225,13.966,8.754,8.721,5415184,SVK,31956.469,10.175566
Slovakia,2015,34.528,6.37,13.797,9.537,8.957,5420221,SVK,33578.89,9.930641
Slovakia,2016,34.963,6.442,13.701,9.899,9.105,5427217,SVK,34188.84,10.576948
Slovakia,2017,36.167,6.654,14.158,10.012,9.642,5435643,SVK,35117.14,9.896002
Slovakia,2018,36.16,6.643,14.095,10.128,9.581,5443188,SVK,36493.062,9.0469055
Slovakia,2019,33.831,6.207,11.674,10.22,9.578,5450575,SVK,37273.133,10.548755
Slovakia,2020,31.154,5.711,9.854,9.512,9.492,5454981,SVK,36278.3,11.039277
Slovakia,2021,35.216,6.47,12.076,10.126,10.609,5442712,SVK,38437.492,10.213474
Slovakia,2022,31.55,5.765,9.926,10.344,8.886,5473145,SVK,38720.48,9.672483
Slovakia,2023,30.739,5.571,9.478,10.407,8.46,5518008,SVK,39290.434,10.552875
South Africa,1990,312.93,7.68,265.098,40.615,3.444,40746216,ZAF,10824.385,0.2726532
South Africa,1991,326.027,7.821,277.713,41.238,3.492,41687861,ZAF,10472.158,0.53850454
South Africa,1992,301.325,7.099,259.668,34.753,3.517,42443459,ZAF,10065.916,0.20352626
South Africa,1993,320.345,7.399,289.723,23.156,3.924,43297110,ZAF,9989.177,0.039574187
South Africa,1994,338.698,7.697,299.202,31.646,3.924,44004087,ZAF,10143.206,0.27919784
South Africa,1995,361.694,8.12,319.53,33.767,3.924,44541512,ZAF,10331.469,0.13158263
South Africa,1996,363.732,8.061,324.11,31.65,3.532,45122972,ZAF,10636.864,0.3381915
South Africa,1997,385.223,8.436,333.296,44.243,3.155,45666787,ZAF,10783.461,0.5382469
South Africa,1998,377.262,8.162,325.821,44.587,2.656,46223832,ZAF,10706.777,0.45042208
South Africa,1999,374.891,8.022,336.747,30.69,3.473,46730283,ZAF,10844.917,0.22254096
South Africa,2000,378.307,8.022,337.883,33.302,3.199,47159672,ZAF,11197.515,0.386394
South Africa,2001,371.624,7.813,337.693,25.886,4.155,47566761,ZAF,11401.431,0.51286584
South Africa,2002,356.523,7.425,325.528,22.449,4.122,48019362,ZAF,11711.884,0.6614811
South Africa,2003,404.41,8.338,357.445,39.744,2.47,48500305,ZAF,11937.716,0.32830688
South Africa,2004,449.307,9.171,384.086,54.238,6.364,48991365,ZAF,12356.316,0.3265353
South Africa,2005,416.201,8.41,376.718,27.832,6.313,49489992,ZAF,12877.307,0.38413224
South Africa,2006,446.77,8.936,382.017,53.08,6.126,49998227,ZAF,13460.689,0.6920069
South Africa,2007,465.045,9.204,392.172,59.332,7.892,50528523,ZAF,14033.4,0.7227087
South Africa,2008,494.698,9.678,418.3,62.765,8.119,51114550,ZAF,14315.189,0.37311107
South Africa,2009,474.523,9.173,390.674,71.071,7.039,51728471,ZAF,13927.729,0.3895323
South Africa,2010,463.0,8.845,394.437,54.458,8.867,52344000,ZAF,14182.334,0.309906
South Africa,2011,465.908,8.792,389.67,62.665,8.801,52995162,ZAF,14451.929,0.6918544
South Africa,2012,458.965,8.534,392.821,52.183,9.255,53782518,ZAF,14581.589,0.3576339
South Africa,2013,458.647,8.388,392.664,51.655,9.384,54678742,ZAF,14699.066,0.39710414
South Africa,2014,471.965,8.489,399.204,58.756,9.043,55594796,ZAF,14661.263,0.81018883
South Africa,2015,446.349,7.869,377.026,53.894,9.966,56723493,ZAF,14559.475,1.29032
South Africa,2016,457.09,7.983,384.493,59.049,7.815,57259496,ZAF,14519.031,1.4823065
South Africa,2017,439.996,7.634,369.921,57.224,7.339,57635106,ZAF,14591.437,2.1600735
South Africa,2018,434.581,7.414,355.115,64.823,9.12,58612952,ZAF,14571.376,2.2899694
South Africa,2019,464.114,7.789,394.345,55.169,9.105,59587828,ZAF,14370.238,2.2399826
South Africa,2020,434.067,7.167,373.889,45.408,9.644,60562321,ZAF,13266.786,2.5822897
South Africa,2021,425.918,6.925,355.642,56.558,8.383,61502553,ZAF,13711.294,3.2473845
South Africa,2022,405.312,6.498,335.074,56.434,8.484,62378377,ZAF,13777.192,3.6482332
South Africa,2023,401.893,6.358,329.773,57.361,9.433,63212339,ZAF,13690.39,3.7571616
South Korea,1990,250.511,5.683,94.308,130.947,6.433,44081380,KOR,13883.375,1.2108697
South Korea,1991,275.688,6.204,94.094,151.671,7.441,44439112,KOR,15228.258,0.79333895
South Korea,1992,299.905,6.716,91.32,173.971,9.733,44653652,KOR,16005.019,0.6271529
South Korea,1993,330.174,7.356,99.62,189.427,12.159,44887672,KOR,16932.875,0.7804497
South Korea,1994,355.695,7.881,101.801,206.573,16.186,45130788,KOR,18317.098,0.4008217
South Korea,1995,383.665,8.457,105.3,226.079,19.574,45368368,KOR,19877.193,0.47600058
South Korea,1996,420.996,9.225,122.689,239.471,25.859,45638655,KOR,21242.283,0.40813407
South Korea,1997,444.968,9.686,133.313,246.07,31.427,45941485,KOR,22342.555,0.37682396
South Korea,1998,378.038,8.177,137.598,183.586,29.399,46230834,KOR,21044.047,0.617086
South Korea,1999,410.519,8.828,145.635,200.628,35.797,46500333,KOR,23291.014,0.55575603
South Korea,2000,439.981,9.408,163.883,206.229,40.204,46766608,KOR,25189.857,0.50788707
South Korea,2001,455.631,9.685,174.626,206.083,44.163,47043411,KOR,26210.3,0.2929415
South Korea,2002,476.065,10.065,187.637,207.116,49.069,47299074,KOR,28072.367,0.39274833
South Korea,2003,485.213,10.212,195.319,205.372,51.401,47514113,KOR,28806.19,0.5620512
South Korea,2004,491.389,10.302,203.138,196.256,60.234,47697022,KOR,30183.496,0.4988534
South Korea,2005,498.688,10.422,209.293,195.069,65.27,47851594,KOR,31417.291,0.4205607
South Korea,2006,503.478,10.488,216.428,190.054,67.995,48006467,KOR,32897.965,0.42015433
South Korea,2007,521.709,10.829,228.427,187.258,73.37,48178072,KOR,34630.492,0.47698417
South Korea,2008,532.651,11.015,253.041,171.088,75.924,48356441,KOR,35404.05,0.5023927
South Korea,2009,537.82,11.078,262.395,172.708,72.171,48546637,KOR,35501.508,0.54491127
South Korea,2010,594.339,12.187,295.05,176.156,91.541,48769268,KOR,37728.88,0.6298219
South Korea,2011,623.443,12.69,320.169,171.469,98.513,49127592,KOR,38819.777,0.74279803
South Korea,2012,627.943,12.66,316.99,170.817,106.566,49599543,KOR,39543.996,0.8157147
South Korea,2013,634.581,12.674,320.644,168.582,111.531,50071119,KOR,40610.164,0.99865013
South Korea,2014,629.366,12.453,331.304,161.534,101.445,50539008,KOR,41648.246,1.259366
South Korea,2015,634.177,12.439,335.411,170.594,92.589,50983856,KOR,42593.008,1.4513619
South Korea,2016,637.914,12.435,320.697,184.034,96.655,51297794,KOR,43674.508,1.6504588
South Korea,2017,654.537,12.713,337.669,179.413,100.861,51486222,KOR,44928.05,1.9714482
South Korea,2018,670.169,12.977,340.348,177.633,117.173,51640842,KOR,46034.29,2.3837214
South Korea,2019,646.102,12.481,321.606,175.797,113.586,51767790,KOR,46903.84,2.8068886
South Korea,2020,597.634,11.524,282.883,165.068,116.635,51858440,KOR,46506.934,3.4662952
South Korea,2021,616.075,11.882,283.908,171.484,126.79,51848358,KOR,48571.434,3.8773115
South Korea,2022,602.092,11.627,268.099,173.664,126.732,51782473,KOR,49933.977,4.3325253
South Korea,2023,577.417,11.158,251.87,170.389,122.051,51748695,KOR,50572.25,4.6598625
Spain,1990,230.174,5.889,79.807,121.261,12.062,39084924,ESP,31639.244,6.8189745
Spain,1991,240.009,6.122,82.396,127.755,13.463,39201702,ESP,32362.303,7.060038
Spain,1992,248.412,6.302,85.65,133.044,14.57,39420297,ESP,32503.44,4.74343
Spain,1993,239.809,6.048,82.449,128.569,14.168,39651575,ESP,32001.795,6.273599
Spain,1994,252.047,6.324,82.941,137.166,15.212,39858677,ESP,32608.84,6.92714
Spain,1995,265.779,6.636,85.879,143.469,18.878,40052688,ESP,33360.46,5.623783
Spain,1996,253.237,6.294,72.659,142.029,21.289,40237332,ESP,34088.027,9.155758
Spain,1997,265.567,6.57,75.331,144.683,27.489,40423773,ESP,35163.18,7.8966756
Spain,1998,274.318,6.754,73.456,152.941,28.462,40617392,ESP,36524.426,7.5344834
Spain,1999,297.773,7.296,83.531,161.365,32.502,40812809,ESP,37980.48,5.3413296
Spain,2000,310.072,7.559,88.321,163.469,37.153,41019721,ESP,39777.45,6.59801
Spain,2001,311.809,7.56,81.098,169.399,39.97,41245551,ESP,41050.457,8.709262
Spain,2002,331.95,7.95,90.917,173.921,45.027,41755656,ESP,41589.918,6.0164313
Spain,2003,336.333,7.912,84.293,178.25,51.279,42506499,ESP,42045.082,9.206891
Spain,2004,353.011,8.165,87.367,183.598,58.736,43234511,ESP,42612.938,8.0197115
Spain,2005,368.339,8.379,87.766,187.751,68.912,43958840,ESP,43387.035,6.4418535
Spain,2006,359.654,8.047,77.952,183.443,74.012,44695400,ESP,44384.727,7.9334793
Spain,2007,367.401,8.072,84.629,182.939,75.626,45516452,ESP,45110.254,8.869269
Spain,2008,335.889,7.265,59.334,173.209,82.523,46235010,ESP,44736.902,9.9720745
Spain,2009,296.501,6.358,45.081,161.035,73.68,46635128,ESP,42671.52,12.912886
Spain,2010,282.938,6.04,36.352,156.339,73.623,46840419,ESP,42515.49,16.490276
Spain,2011,283.801,6.039,54.215,146.018,68.024,46997994,ESP,42093.582,15.328785
Spain,2012,278.061,5.914,63.253,134.678,65.077,47018277,ESP,40861.01,15.917162
Spain,2013,251.942,5.376,49.191,129.347,59.055,46860345,ESP,40409.99,19.290365
Spain,2014,254.181,5.441,54.142,129.902,54.251,46720137,ESP,41147.246,19.445473
Spain,2015,270.74,5.799,61.841,136.332,56.603,46683633,ESP,42851.414,16.977324
Spain,2016,259.625,5.556,45.677,140.243,57.653,46732712,ESP,44063.383,18.117424
Spain,2017,273.58,5.837,53.598,141.132,62.528,46868543,ESP,45233.24,15.319087
Spain,2018,268.59,5.703,48.081,142.101,61.842,47092764,ESP,46114.344,17.922855
Spain,2019,250.596,5.283,23.649,140.026,71.178,47435072,ESP,46682.477,17.063374
Spain,2020,211.843,4.443,14.326,118.806,64.25,47679437,ESP,41372.78,21.929209
Spain,2021,229.069,4.799,16.271,129.749,68.124,47735610,ESP,44091.11,22.27165
Spain,2022,234.657,4.906,17.872,135.101,67.501,47828339,ESP,46479.086,20.876808
Spain,2023,221.616,4.626,13.553,132.89,60.778,47911535,ESP,47141.543,24.822027
Sweden,1990,57.52,6.721,11.759,41.99,1.588,8558526,SWE,40457.207,33.0941
Sweden,1991,57.751,6.702,11.847,42.231,1.716,8616913,SWE,39721.89,28.99599
Sweden,1992,57.578,6.643,11.103,42.608,1.993,8667529,SWE,39032.066,33.494484
Sweden,1993,57.572,6.604,11.05,42.505,2.065,8717989,SWE,38004.426,34.015804
Sweden,1994,60.026,6.836,11.237,44.745,2.027,8780150,SWE,39250.605,26.996574
Sweden,1995,59.512,6.743,11.224,44.029,2.061,8826250,SWE,40643.805,30.273647
Sweden,1996,63.381,7.17,12.388,46.635,2.224,8840281,SWE,41270.973,23.688955
Sweden,1997,58.383,6.6,10.784,43.282,2.254,8845470,SWE,42511.527,30.620182
Sweden,1998,58.802,6.644,11.108,43.309,2.23,8850553,SWE,44291.855,31.588509
Sweden,1999,55.982,6.32,10.048,41.585,2.171,8857642,SWE,46116.637,31.010633
Sweden,2000,54.93,6.191,10.102,40.448,2.079,8872062,SWE,48174.934,36.65572
Sweden,2001,55.838,6.277,10.942,40.175,2.397,8895980,SWE,48699.562,34.202785
Sweden,2002,56.685,6.351,11.42,40.495,2.442,8924991,SWE,49646.94,31.103418
Sweden,2003,57.292,6.395,11.55,41.209,2.266,8958387,SWE,50392.918,27.30538
Sweden,2004,56.517,6.284,11.815,40.175,2.196,8993754,SWE,52293.03,29.336147
Sweden,2005,53.875,5.966,10.952,38.628,1.867,9029713,SWE,53539.113,33.911415
Sweden,2006,53.738,5.918,10.696,38.067,2.048,9080584,SWE,55728.254,31.833075
Sweden,2007,52.994,5.793,10.775,37.124,2.16,9148219,SWE,57100.438,34.159508
Sweden,2008,50.866,5.517,10.344,35.675,1.888,9219853,SWE,56134.32,36.04815
Sweden,2009,47.238,5.08,7.372,34.707,2.483,9298692,SWE,53289.566,38.65646
Sweden,2010,53.12,5.664,10.317,36.521,3.431,9378187,SWE,55875.72,37.370335
Sweden,2011,49.211,5.208,9.472,34.127,2.718,9449207,SWE,57209.918,38.675858
Sweden,2012,46.712,4.907,8.643,32.73,2.356,9519430,SWE,56552.895,42.3462
Sweden,2013,45.202,4.708,8.744,31.339,2.358,9600578,SWE,56713.703,38.2202
Sweden,2014,43.473,4.483,8.291,30.381,2.054,9696389,SWE,57442.918,39.70318
Sweden,2015,43.418,4.431,8.022,30.49,1.967,9799437,SWE,59345.35,45.535107
Sweden,2016,43.414,4.375,8.034,30.341,2.261,9923227,SWE,59981.418,40.905605
Sweden,2017,42.438,4.219,8.315,29.4,1.812,10057811,SWE,60258.727,41.625465
Sweden,2018,42.058,4.133,8.093,29.098,1.886,10175356,SWE,60696.242,41.606827
Sweden,2019,40.834,3.972,8.115,28.523,1.78,10279068,SWE,61615.992,43.746517
Sweden,2020,36.703,3.545,6.649,26.363,1.442,10353627,SWE,59945.586,51.05583
Sweden,2021,38.634,3.709,6.992,27.953,1.901,10416075,SWE,63124.598,50.009987
Sweden,2022,37.474,3.573,6.914,25.997,1.55,10487289,SWE,63611.363,52.433502
Sweden,2023,36.556,3.465,6.79,25.365,1.388,10551441,SWE,63114.68,52.458923
Switzerland,1990,44.149,6.576,1.467,35.932,3.91,6713123,CHE,64588.953,25.901928
Switzerland,1991,46.132,6.787,1.211,38.034,4.369,6796900,CHE,63202.56,27.135872
Switzerland,1992,46.018,6.693,0.896,38.168,4.581,6875000,CHE,62482.227,27.265522
Switzerland,1993,43.61,6.286,0.763,35.869,4.794,6938058,CHE,61837.77,29.894827
Switzerland,1994,42.67,6.101,0.778,34.799,4.721,6993543,CHE,62125.742,31.105942
Switzerland,1995,43.414,6.166,0.797,35.187,5.181,7040436,CHE,62008.727,29.600357
Switzerland,1996,44.108,6.237,0.576,35.859,5.622,7071835,CHE,62026.426,25.121393
Switzerland,1997,43.046,6.072,0.5,35.248,5.439,7089120,CHE,63276.434,27.801388
Switzerland,1998,44.623,6.276,0.439,36.725,5.6,7110242,CHE,65000.26,27.211456
Switzerland,1999,44.446,6.221,0.453,36.326,5.807,7144067,CHE,65766.62,31.122368
Switzerland,2000,43.621,6.072,0.645,35.211,5.788,7183943,CHE,67987.01,29.476492
Switzerland,2001,45.087,6.239,0.654,36.395,6.025,7226349,CHE,68622.65,30.747568
Switzerland,2002,43.467,5.972,0.594,35.018,5.921,7278704,CHE,68055.63,28.020714
Switzerland,2003,44.65,6.088,0.602,35.897,6.255,7333404,CHE,67530.695,27.866379
Switzerland,2004,45.233,6.126,0.588,36.16,6.466,7384137,CHE,68880.05,27.041227
Switzerland,2005,45.777,6.16,0.633,36.37,6.634,7431778,CHE,70322.12,26.139725
Switzerland,2006,45.365,6.066,0.68,36.103,6.459,7478464,CHE,72728.92,25.216665
Switzerland,2007,43.358,5.746,0.741,34.17,6.296,7545336,CHE,74904.84,28.119028
Switzerland,2008,44.699,5.849,0.681,35.207,6.702,7641679,CHE,76035.87,27.972147
Switzerland,2009,43.523,5.625,0.636,34.401,6.423,7737594,CHE,73366.586,28.183937
Switzerland,2010,45.034,5.755,0.649,35.013,7.179,7825700,CHE,74961.31,27.969475
Switzerland,2011,40.973,5.177,0.608,31.814,6.383,7914333,CHE,75476.55,27.143543
Switzerland,2012,42.241,5.281,0.557,32.668,6.978,7998872,CHE,75560.02,30.448433
Switzerland,2013,43.171,5.336,0.583,33.222,7.332,8091148,CHE,76034.81,29.926266
Switzerland,2014,39.221,4.789,0.602,30.16,6.373,8190179,CHE,76877.805,31.115068
Switzerland,2015,38.719,4.674,0.56,29.462,6.798,8283893,CHE,77257.68,32.12223
Switzerland,2016,39.172,4.677,0.525,29.552,7.145,8374857,CHE,77999.46,31.375622
Switzerland,2017,38.165,4.515,0.503,28.615,7.104,8453574,CHE,78328.09,31.292732
Switzerland,2018,36.859,4.328,0.475,27.765,6.703,8516296,CHE,79977.305,31.434002
Switzerland,2019,36.721,4.281,0.429,27.485,6.897,8577482,CHE,80315.68,32.558853
Switzerland,2020,34.228,3.961,0.411,25.306,6.667,8640538,CHE,78023.34,35.59849
Switzerland,2021,35.78,4.109,0.421,26.195,7.267,8706973,CHE,81603.21,37.27572
Switzerland,2022,32.819,3.733,0.431,24.515,6.015,8792128,CHE,83007.28,31.095837
Switzerland,2023,32.737,3.691,0.431,24.881,5.568,8870520,CHE,82557.55,35.635983
Thailand,1990,86.563,1.581,16.594,53.221,10.28,54738282,THA,8701.645,3.877864
Thailand,1991,95.045,1.708,19.425,56.495,13.129,55637391,THA,9293.7,3.2356648
Thailand,1992,105.513,1.867,20.79,62.417,14.074,56528779,THA,9886.548,2.7242527
Thailand,1993,121.855,2.123,23.109,70.672,16.01,57408155,THA,10538.441,2.0918102
Thailand,1994,136.87,2.349,26.664,78.419,18.252,58260809,THA,11214.638,2.2775457
Thailand,1995,153.65,2.6,30.339,88.777,18.956,59098195,THA,11953.495,3.0560005
Thailand,1996,173.566,2.897,36.777,96.915,22.27,59920009,THA,12455.886,2.9783044
Thailand,1997,181.203,2.984,38.024,95.44,28.148,60724538,THA,11952.424,2.8067074
Thailand,1998,159.704,2.596,30.637,85.415,30.146,61522574,THA,10896.766,2.2404234
Thailand,1999,167.235,2.684,32.373,84.654,33.856,62298991,THA,11252.987,1.5209678
Thailand,2000,167.352,2.656,33.1,79.347,39.32,63007767,THA,11622.111,2.4320366
Thailand,2001,172.267,2.706,36.81,75.165,42.534,63651090,THA,11900.895,2.432144
Thailand,2002,184.665,2.873,39.244,78.938,46.469,64266381,THA,12511.738,2.6618729
Thailand,2003,191.088,2.946,39.903,83.86,49.47,64868110,THA,13286.832,2.5803251
Thailand,2004,207.331,3.168,44.763,91.753,52.102,65451997,THA,13996.504,2.2042708
Thailand,2005,214.325,3.246,48.333,90.839,54.462,66017363,THA,14457.741,2.107552
Thailand,2006,215.825,3.242,51.313,87.308,55.579,66567647,THA,15050.525,2.724441
Thailand,2007,224.083,3.339,57.803,84.633,59.253,67102346,THA,15742.096,2.8317242
Thailand,2008,224.249,3.316,62.251,78.484,63.7,67619781,THA,15891.217,2.8623428
Thailand,2009,228.836,3.359,62.403,79.822,67.513,68121030,THA,15665.346,2.9795134
Thailand,2010,241.019,3.514,64.008,80.785,77.345,68579392,THA,16729.775,2.7503529
Thailand,2011,244.878,3.549,65.35,84.609,76.017,69007158,THA,16765.752,3.4417028
Thailand,2012,262.348,3.778,68.155,90.833,83.615,69436048,THA,17869.002,3.781315
Thailand,2013,263.754,3.776,67.149,91.381,85.504,69845062,THA,18241.777,3.8004148
Thailand,2014,272.488,3.881,73.794,91.137,87.093,70216319,THA,18323.963,4.2395444
Thailand,2015,277.099,3.928,72.142,95.218,88.912,70540737,THA,18811.328,4.201601
Thailand,2016,284.045,4.009,73.6,98.924,87.759,70859797,THA,19369.92,4.617123
Thailand,2017,283.348,3.982,73.824,101.146,85.289,71160146,THA,20093.963,5.317632
Thailand,2018,288.305,4.039,78.564,102.33,84.332,71376039,THA,20879.16,6.378996
Thailand,2019,281.877,3.941,70.06,103.652,85.27,71522216,THA,21277.082,6.950582
Thailand,2020,271.923,3.796,74.799,96.312,78.28,71641437,THA,19956.547,6.9699163
Thailand,2021,267.142,3.724,76.648,90.92,77.923,71727293,THA,20245.242,7.034393
Thailand,2022,272.573,3.8,69.809,105.828,75.532,71735273,THA,20741.523,7.247943
Thailand,2023,264.389,3.687,59.327,104.343,81.075,71702397,THA,21142.664,7.6081514
